,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
0,BMW i3,Garanzia batterie e motore 12 mesi,['BMW i3'],109954,08/2013,75 kW (102 CV),Usato,3,Automatico,Elettrica,Brokar di Riccardo Gioè,20085,Locate di Triulzi MI,12900
1,BMW i3,I3 ELETTRICA PELLE LED NAVIGATORE BLUETOOTH,"['Fari full-LED, Bluetooth, Airbag testa, Fari LED, Controllo automatico clima, Airbag posteriore, Volante multifunzione, Fari direzionali']",59000,10/2014,75 kW (102 CV),Usato,,Automatico,Elettrica,Autobaselli Srl,25027,Quinzano d'Oglio - Brescia - Bs,14900
2,BMW i3,60 Ah (Range Extender),"['Start/Stop Automatico, Volante in pelle, Chiusura centralizzata, Range extender, Chiusura centralizzata senza chiave, Fendinebbia, Airbag posteriore, ESP']",68000,10/2014,75 kW (102 CV),Usato,,Automatico,Elettrica,BONERA SPA,25135,Brescia,15200
3,BMW i3,i3 *KM 21.000,"['Cerchi in lega, Sistema di navigazione']",21215,06/2015,75 kW (102 CV),Usato,,Automatico,Elettrica,Bc Car srl,72023,Mesagne BR,15800
4,BMW i3,,"[""Vetri oscurati, Sistema di chiamata d'emergenza, Sedile posteriore sdoppiato, Fari full-LED, Sistema di avviso di distanza, Immobilizzatore elettronico, Frenata d'emergenza assistita, Chiusura centralizzata senza chiave""]",76000,05/2015,125 kW (170 CV),Usato,,Manuale,Elettrica,GV@Auto Srls,40068,San Lazzaro di Savena - Bo,16900
5,BMW i3,bmw I3 ibrida RANGE EXTENDER,"['Cerchi in lega, Fendinebbia, Limitatore di velocità, ABS, Luci diurne LED']",68000,10/2014,75 kW (102 CV),Usato,1,Automatico,Elettrica/Benzina,M.B. Motori Srl,37135,Verona,16900
6,BMW i3,94 Ah,['IVA Esposta! Garanzia BMW fino al 04/2025! '],44590,04/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Okay Cars Srl,42020,Quattro Castella - Reggio Emilia - Re,19600
7,BMW i3,94 Ah,['NAVI PROF/FARI LED/RETROCAMERA ECC...'],26231,09/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,M.P. Auto di Magnatta Paolo,10134,Torino - To,19950
8,BMW i3,94Ah,['IVA Esposta! Garanzia BMW fino al 08/2025!!'],13010,08/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Okay Cars Srl,42020,Quattro Castella - Reggio Emilia - Re,19980
9,BMW i3,(Range Extender),"['Airbag testa, Controllo elettronico della corsia, Chiusura centralizzata, Cerchi in lega, Cruise Control, Adaptive Cruise Control, Sistema di parcheggio automatico, Sensori di parcheggio assistito posteriori']",37360,05/2016,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,BIRINDELLI @UTO SRL,50059,Vinci - Firenze - Fi,20000
10,BMW i3,94 Ah,,31000,02/2018,75 kW (102 CV),Usato,1,- (Tipo di cambio),Elettrica,Msport Auto,25058,Sulzano - Brescia - Bs,21000
11,BMW i3,(Range Extender) 94 ah IVA ESPOSTA,"['Bluetooth, Range extender, Fendinebbia, Fari LED, Airbag testa, Sensori di parcheggio assistito posteriori, Cerchi in lega, Specchietto retrovisore con funzione antiabbagliamento']",51000,11/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica/Benzina,Car System srl,24126,Bergamo - Bg,21500
12,BMW i3,i3,,9350,11/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,Tuacar srl,10024,Moncalieri -To,21900
13,BMW i3,94 Ah (Range Extender),,36000,01/2017,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,TULLO PEZZO SRL,46030,San Giorgio Bigarello- Mantova,23790
