,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,price
0,Fiat Punto Evo,1.4 5 porte Dynamic EasyPower,"['Sedile posteriore sdoppiato, Fendinebbia']",218000,09/2011,57 kW (77 CV),Usato,1,Manuale,GPL,3390
1,Fiat Punto Evo,1.2 3 porte Active,"['Specchietti laterali elettrici, Antifurto']",176539,11/2011,48 kW (65 CV),Usato,,Manuale,Benzina,3900
2,Fiat Punto Evo,Punto Evo 1.2 Dynamic s,"['Volante in pelle, Computer di bordo, Chiusura centralizzata telecomandata, Climatizzatore, ABS, Chiusura centralizzata, Start/Stop Automatico']",159000,01/2012,51 kW (69 CV),Usato,,Manuale,Benzina,4500
3,Fiat Punto Evo,1.6 Mjt DPF 3 porte Sport,"['Fendinebbia, Pacchetto sportivo, Chiusura centralizzata, Isofix, Limitatore di velocità, Cerchi in lega, Ruota di riserva, Volante in pelle']",197000,04/2010,88 kW (120 CV),Usato,,Manuale,Diesel,4900
4,Fiat Punto Evo,1.2 3 porte S&S Dynamic,"['Cerchi in lega, Climatizzatore, Autoradio, Chiusura centralizzata, MP3, CD']",59900,06/2012,51 kW (69 CV),Usato,,Manuale,Benzina,5900
5,Fiat Punto Evo,1.2 5 porte S&S 150°,['PREZZO VERO SENZA OBBLIGO FINANZIAMENTO'],89000,08/2011,51 kW (69 CV),Usato,,Manuale,Benzina,6000
6,Fiat Punto Evo,1.4 5 porte Dynamic Natural Po,"['Chiusura centralizzata, Cerchi in lega, Fendinebbia, Alzacristalli elettrici, Isofix, Controllo automatico trazione, Bluetooth, Sedile posteriore sdoppiato']",140000,02/2012,51 kW (69 CV),Usato,2,Manuale,Metano,6500
7,Fiat Punto Evo,1.4 M.Air 16V 5 porte S,"['Cerchi in lega, Airbag passeggero']",88000,03/2011,77 kW (105 CV),Usato,,Manuale,Benzina,5600
8,Fiat Punto Evo,1.4 Naturalpower Dynamic GUARNIZIONE TESTA BRUCIAT,,419000,10/2010,57 kW (77 CV),Usato,,Manuale,Metano,1500
9,Fiat Punto Evo,1.3 Mjt 90 CV 5 porte Dynamic,,260000,08/2010,66 kW (90 CV),Usato,,Manuale,Diesel,2000
10,Fiat Punto Evo,1.4 3 porte Active van metano,,380000,08/2012,51 kW (69 CV),Usato,1,Manuale,Metano,2200
11,Fiat Punto Evo,1.4 5 porte Active Natural Pow,,305000,06/2012,51 kW (69 CV),Usato,,Manuale,Metano,2400
12,Fiat Punto Evo,1.4 3 porte Dynamic Natural Po,,260000,04/2010,51 kW (69 CV),Usato,,Manuale,Metano,2400
